Image Quality Evaluation Summary
============================================================
Input directory: /home/asaken/codes/ECE253_Low_Light_Enhancement/dataset/single_highlight
Label directory: /home/asaken/codes/ECE253_Low_Light_Enhancement/dataset/original

Total images: 264
Mean SNR: 8.9409 dB
Std SNR: 4.7751 dB
Min SNR: 1.5072 dB
Max SNR: 22.9296 dB
------------------------------------------------------------
Mean PSNR: -33.3684 dB
Std PSNR: 3.3834 dB
Min PSNR: -38.4458 dB
Max PSNR: -21.5293 dB
------------------------------------------------------------
Mean SSIM: 0.0549
Std SSIM: 0.0498
Min SSIM: -0.0001
Max SSIM: 0.2537
------------------------------------------------------------
Individual Results:
1_p1: SNR=14.6004 dB, PSNR=-28.4185 dB, SSIM=0.0073
1_p2: SNR=17.0611 dB, PSNR=-28.5365 dB, SSIM=0.0292
1_p3: SNR=8.0794 dB, PSNR=-34.9208 dB, SSIM=0.0506
1_p4: SNR=9.0515 dB, PSNR=-35.0044 dB, SSIM=0.1173
2_p1: SNR=18.5480 dB, PSNR=-25.9037 dB, SSIM=0.0753
2_p2: SNR=12.9484 dB, PSNR=-31.0735 dB, SSIM=0.0154
2_p3: SNR=9.6628 dB, PSNR=-33.6823 dB, SSIM=0.2525
2_p4: SNR=4.2085 dB, PSNR=-36.4932 dB, SSIM=0.0337
3_p1: SNR=22.2865 dB, PSNR=-22.2086 dB, SSIM=0.0163
3_p2: SNR=22.1476 dB, PSNR=-22.9906 dB, SSIM=0.0086
3_p3: SNR=7.3783 dB, PSNR=-35.8742 dB, SSIM=0.0819
3_p4: SNR=8.3877 dB, PSNR=-31.6896 dB, SSIM=0.1301
4_p1: SNR=11.3915 dB, PSNR=-32.9227 dB, SSIM=0.0138
4_p2: SNR=12.5482 dB, PSNR=-30.9966 dB, SSIM=0.0137
4_p3: SNR=7.0420 dB, PSNR=-36.4336 dB, SSIM=0.0329
4_p4: SNR=10.5062 dB, PSNR=-34.0774 dB, SSIM=0.2537
5_p1: SNR=14.5561 dB, PSNR=-29.5466 dB, SSIM=0.0026
5_p2: SNR=15.0175 dB, PSNR=-28.6708 dB, SSIM=-0.0001
5_p3: SNR=8.9220 dB, PSNR=-31.9385 dB, SSIM=0.0482
5_p4: SNR=6.6382 dB, PSNR=-35.3155 dB, SSIM=0.0394
6_p1: SNR=12.5486 dB, PSNR=-31.0820 dB, SSIM=0.0515
6_p2: SNR=9.5547 dB, PSNR=-33.8944 dB, SSIM=0.1638
6_p3: SNR=9.1625 dB, PSNR=-35.0184 dB, SSIM=0.0776
6_p4: SNR=6.9354 dB, PSNR=-34.1662 dB, SSIM=0.0528
7_p1: SNR=13.5345 dB, PSNR=-29.6216 dB, SSIM=0.0467
7_p2: SNR=13.8594 dB, PSNR=-30.1148 dB, SSIM=0.1156
7_p3: SNR=10.4641 dB, PSNR=-33.6251 dB, SSIM=0.0375
7_p4: SNR=9.9881 dB, PSNR=-33.7539 dB, SSIM=0.1294
8_p1: SNR=20.8880 dB, PSNR=-24.3888 dB, SSIM=0.0537
