Image Quality Evaluation Summary
============================================================

Input directory: /home/asaken/codes/ECE253_Low_Light_Enhancement/dataset/Histogram-result
Label directory: /home/asaken/codes/ECE253_Low_Light_Enhancement/dataset/original

Total images: 264
Mean SNR: 6.0131 dB
Std SNR: 2.8320 dB
Min SNR: 0.7136 dB
Max SNR: 14.3889 dB

------------------------------------------------------------Mean PSNR: -37.4359 dB
Std PSNR: 2.8365 dB
Min PSNR: -42.9004 dB
Max PSNR: -28.8535 dB

------------------------------------------------------------Mean SSIM: 0.0551
Std SSIM: 0.0637
Min SSIM: 0.0006
Max SSIM: 0.3826

------------------------------------------------------------Individual Results:
------------------------------------------------------------
1_p1: SNR=6.2707 dB, PSNR=-37.3680 dB, SSIM=0.0022
1_p2: SNR=7.6423 dB, PSNR=-36.0962 dB, SSIM=0.0037
1_p3: SNR=6.5144 dB, PSNR=-36.9094 dB, SSIM=0.0619
1_p4: SNR=8.0282 dB, PSNR=-35.4345 dB, SSIM=0.0850
2_p1: SNR=7.9405 dB, PSNR=-35.6822 dB, SSIM=0.0376
2_p2: SNR=6.5880 dB, PSNR=-36.9885 dB, SSIM=0.0118
2_p3: SNR=10.3545 dB, PSNR=-32.9830 dB, SSIM=0.2971
2_p4: SNR=3.1910 dB, PSNR=-40.2193 dB, SSIM=0.0248
3_p1: SNR=6.3239 dB, PSNR=-37.3012 dB, SSIM=0.0055
3_p2: SNR=6.4279 dB, PSNR=-37.1929 dB, SSIM=0.0028
3_p3: SNR=6.0176 dB, PSNR=-37.3355 dB, SSIM=0.0677
3_p4: SNR=5.3144 dB, PSNR=-38.1915 dB, SSIM=0.1246
4_p1: SNR=9.1759 dB, PSNR=-34.4807 dB, SSIM=0.0204
4_p2: SNR=7.5016 dB, PSNR=-36.1210 dB, SSIM=0.0158
4_p3: SNR=7.6059 dB, PSNR=-35.7085 dB, SSIM=0.0769
4_p4: SNR=9.3105 dB, PSNR=-33.9507 dB, SSIM=0.2705
5_p1: SNR=6.5291 dB, PSNR=-37.1353 dB, SSIM=0.0017
5_p2: SNR=6.3189 dB, PSNR=-37.2974 dB, SSIM=0.0006
5_p3: SNR=6.4497 dB, PSNR=-37.0056 dB, SSIM=0.0374
5_p4: SNR=5.5934 dB, PSNR=-37.8270 dB, SSIM=0.0417
6_p1: SNR=6.6384 dB, PSNR=-36.9248 dB, SSIM=0.0325
6_p2: SNR=7.5701 dB, PSNR=-35.7753 dB, SSIM=0.1715
6_p3: SNR=7.3469 dB, PSNR=-35.9188 dB, SSIM=0.0883
6_p4: SNR=5.9957 dB, PSNR=-37.3788 dB, SSIM=0.0538
7_p1: SNR=10.4234 dB, PSNR=-33.2223 dB, SSIM=0.0489
7_p2: SNR=13.0015 dB, PSNR=-30.6983 dB, SSIM=0.1528
7_p3: SNR=7.7837 dB, PSNR=-35.5673 dB, SSIM=0.0559
7_p4: SNR=13.9462 dB, PSNR=-29.3694 dB, SSIM=0.3068
8_p1: SNR=5.5523 dB, PSNR=-38.0872 dB, SSIM=0.0116
8_p2: SNR=4.7403 dB, PSNR=-38.7866 dB, SSIM=0.0062
8_p3: SNR=2.9875 dB, PSNR=-40.4416 dB, SSIM=0.0325
8_p4: SNR=6.7887 dB, PSNR=-36.5886 dB, SSIM=0.2570
9_p1: SNR=4.4124 dB, PSNR=-38.9971 dB, SSIM=0.0055
9_p2: SNR=5.3057 dB, PSNR=-38.1688 dB, SSIM=0.0133
9_p3: SNR=6.3668 dB, PSNR=-36.9999 dB, SSIM=0.1741
9_p4: SNR=4.5949 dB, PSNR=-38.8888 dB, SSIM=0.0300
10_p1: SNR=5.0450 dB, PSNR=-38.3728 dB, SSIM=0.0034
10_p2: SNR=6.0633 dB, PSNR=-37.3828 dB, SSIM=0.0031
10_p3: SNR=4.9644 dB, PSNR=-38.4183 dB, SSIM=0.0305
10_p4: SNR=4.6224 dB, PSNR=-38.7959 dB, SSIM=0.0343
11_p1: SNR=5.4058 dB, PSNR=-38.2088 dB, SSIM=0.0160
11_p2: SNR=5.2067 dB, PSNR=-38.2653 dB, SSIM=0.0093
11_p3: SNR=7.8650 dB, PSNR=-35.6386 dB, SSIM=0.1026
11_p4: SNR=4.7402 dB, PSNR=-38.6022 dB, SSIM=0.0717
12_p1: SNR=7.3446 dB, PSNR=-36.2010 dB, SSIM=0.0057
12_p2: SNR=6.7555 dB, PSNR=-36.8050 dB, SSIM=0.0074
12_p3: SNR=6.0200 dB, PSNR=-37.4014 dB, SSIM=0.0463
12_p4: SNR=6.1981 dB, PSNR=-37.2849 dB, SSIM=0.0475
13_p1: SNR=8.8447 dB, PSNR=-34.8327 dB, SSIM=0.0388
13_p2: SNR=6.7960 dB, PSNR=-36.7964 dB, SSIM=0.0378
13_p3: SNR=5.9512 dB, PSNR=-37.3987 dB, SSIM=0.0563
13_p4: SNR=5.6285 dB, PSNR=-37.7529 dB, SSIM=0.0194
