Image Quality Evaluation Summary
============================================================

Input directory: /home/asaken/codes/ECE253_Low_Light_Enhancement/dataset/deblurring/25
Label directory: /home/asaken/codes/ECE253_Low_Light_Enhancement/dataset/original

Total images: 264
Mean SNR: 9.4430 dB
Std SNR: 4.8096 dB
Min SNR: 1.7839 dB
Max SNR: 23.9295 dB

------------------------------------------------------------Mean PSNR: -32.8038 dB
Std PSNR: 3.5465 dB
Min PSNR: -38.4476 dB
Max PSNR: -20.5682 dB

------------------------------------------------------------Mean SSIM: 0.0751
Std SSIM: 0.0632
Min SSIM: 0.0001
Max SSIM: 0.2763

------------------------------------------------------------Individual Results:
------------------------------------------------------------
1_p1: SNR=15.9863 dB, PSNR=-27.0491 dB, SSIM=0.0203
1_p2: SNR=17.0979 dB, PSNR=-28.5049 dB, SSIM=0.1467
1_p3: SNR=8.2740 dB, PSNR=-34.7391 dB, SSIM=0.0480
1_p4: SNR=9.0830 dB, PSNR=-34.9743 dB, SSIM=0.1331
2_p1: SNR=18.9437 dB, PSNR=-25.5131 dB, SSIM=0.2011
2_p2: SNR=13.4701 dB, PSNR=-30.5332 dB, SSIM=0.0184
2_p3: SNR=9.6768 dB, PSNR=-33.8075 dB, SSIM=0.2528
2_p4: SNR=4.6144 dB, PSNR=-35.9537 dB, SSIM=0.0385
3_p1: SNR=23.9295 dB, PSNR=-20.5682 dB, SSIM=0.0455
3_p2: SNR=22.6426 dB, PSNR=-22.5269 dB, SSIM=0.0449
3_p3: SNR=7.4814 dB, PSNR=-35.8551 dB, SSIM=0.1072
3_p4: SNR=9.8080 dB, PSNR=-30.2398 dB, SSIM=0.1501
4_p1: SNR=11.6906 dB, PSNR=-32.6350 dB, SSIM=0.0143
4_p2: SNR=13.2917 dB, PSNR=-30.2590 dB, SSIM=0.0168
4_p3: SNR=7.2335 dB, PSNR=-36.2337 dB, SSIM=0.0435
4_p4: SNR=10.5574 dB, PSNR=-34.0449 dB, SSIM=0.2731
5_p1: SNR=15.2925 dB, PSNR=-28.7826 dB, SSIM=0.0030
5_p2: SNR=15.6510 dB, PSNR=-28.0888 dB, SSIM=0.0001
5_p3: SNR=10.3407 dB, PSNR=-30.4738 dB, SSIM=0.0454
5_p4: SNR=6.9414 dB, PSNR=-35.0485 dB, SSIM=0.0399
6_p1: SNR=13.0623 dB, PSNR=-30.5409 dB, SSIM=0.0627
6_p2: SNR=9.4054 dB, PSNR=-34.1707 dB, SSIM=0.1697
6_p3: SNR=9.3099 dB, PSNR=-34.9101 dB, SSIM=0.1310
6_p4: SNR=7.8800 dB, PSNR=-33.2185 dB, SSIM=0.0554
7_p1: SNR=14.4100 dB, PSNR=-28.7347 dB, SSIM=0.1089
7_p2: SNR=14.1494 dB, PSNR=-29.8239 dB, SSIM=0.2005
7_p3: SNR=10.8773 dB, PSNR=-33.2161 dB, SSIM=0.0450
7_p4: SNR=10.1401 dB, PSNR=-33.6098 dB, SSIM=0.1553
8_p1: SNR=21.0760 dB, PSNR=-24.2021 dB, SSIM=0.1203
8_p2: SNR=10.5250 dB, PSNR=-33.0106 dB, SSIM=0.0097
8_p3: SNR=3.8197 dB, PSNR=-38.0725 dB, SSIM=0.0439
8_p4: SNR=8.2108 dB, PSNR=-33.2834 dB, SSIM=0.1464
9_p1: SNR=16.6282 dB, PSNR=-28.9851 dB, SSIM=0.0106
9_p2: SNR=20.5798 dB, PSNR=-25.0286 dB, SSIM=0.1373
9_p3: SNR=6.6362 dB, PSNR=-36.5719 dB, SSIM=0.0723
9_p4: SNR=8.3421 dB, PSNR=-30.9155 dB, SSIM=0.0297
10_p1: SNR=16.2467 dB, PSNR=-29.1949 dB, SSIM=0.0132
10_p2: SNR=11.4491 dB, PSNR=-32.4266 dB, SSIM=0.0144
10_p3: SNR=5.5038 dB, PSNR=-37.6270 dB, SSIM=0.0458
10_p4: SNR=6.1648 dB, PSNR=-35.2892 dB, SSIM=0.0785
11_p1: SNR=19.2240 dB, PSNR=-25.9534 dB, SSIM=0.0772
11_p2: SNR=7.4275 dB, PSNR=-35.1955 dB, SSIM=0.0109
11_p3: SNR=12.5093 dB, PSNR=-28.8820 dB, SSIM=0.1209
11_p4: SNR=5.1969 dB, PSNR=-37.6818 dB, SSIM=0.0986
12_p1: SNR=15.9805 dB, PSNR=-27.7702 dB, SSIM=0.0110
12_p2: SNR=14.1971 dB, PSNR=-30.1977 dB, SSIM=0.0132
12_p3: SNR=11.0341 dB, PSNR=-31.0724 dB, SSIM=0.0843
12_p4: SNR=10.3296 dB, PSNR=-32.4606 dB, SSIM=0.0258
