Image Quality Evaluation Summary
============================================================
Input directory: dataset/RichardsonLucy-result
Label directory: dataset/original

Total images: 264
Mean SNR: 18.4770 dB
Std SNR: 7.3276 dB
Min SNR: 7.5662 dB
Max SNR: 38.4307 dB
------------------------------------------------------------
Mean PSNR: -21.6790 dB
Std PSNR: 5.1496 dB
Min PSNR: -30.2220 dB
Max PSNR: -5.9830 dB
------------------------------------------------------------
Mean SSIM: 0.5248
Std SSIM: 0.1143
Min SSIM: 0.2986
Max SSIM: 0.7329
------------------------------------------------------------
Individual Results:
1_p1: SNR=33.6760 dB, PSNR=-10.4813 dB, SSIM=0.4191
1_p2: SNR=38.4307 dB, PSNR=-5.9830 dB, SSIM=0.4040
1_p3: SNR=12.7229 dB, PSNR=-27.7618 dB, SSIM=0.7058
1_p4: SNR=18.0372 dB, PSNR=-22.7624 dB, SSIM=0.6539
2_p1: SNR=25.2165 dB, PSNR=-19.4278 dB, SSIM=0.5536
2_p2: SNR=29.3904 dB, PSNR=-15.6709 dB, SSIM=0.5270
2_p3: SNR=13.6265 dB, PSNR=-28.5820 dB, SSIM=0.6832
2_p4: SNR=11.8567 dB, PSNR=-23.3469 dB, SSIM=0.6435
3_p1: SNR=32.5131 dB, PSNR=-12.0586 dB, SSIM=0.3867
3_p2: SNR=35.0674 dB, PSNR=-9.6798 dB, SSIM=0.3791
3_p3: SNR=12.8440 dB, PSNR=-27.1631 dB, SSIM=0.6933
3_p4: SNR=11.8845 dB, PSNR=-27.1290 dB, SSIM=0.6959
4_p1: SNR=23.6321 dB, PSNR=-19.1418 dB, SSIM=0.4469
4_p2: SNR=23.2896 dB, PSNR=-19.5353 dB, SSIM=0.4397
4_p3: SNR=13.5576 dB, PSNR=-26.7049 dB, SSIM=0.6984
4_p4: SNR=14.3405 dB, PSNR=-28.4686 dB, SSIM=0.7329
5_p1: SNR=29.2016 dB, PSNR=-13.4931 dB, SSIM=0.2986
5_p2: SNR=33.9046 dB, PSNR=-8.8206 dB, SSIM=0.3028
5_p3: SNR=15.3335 dB, PSNR=-25.6669 dB, SSIM=0.6259
5_p4: SNR=13.8286 dB, PSNR=-25.3531 dB, SSIM=0.6545
6_p1: SNR=19.2639 dB, PSNR=-23.0745 dB, SSIM=0.4547
6_p2: SNR=13.8651 dB, PSNR=-27.5708 dB, SSIM=0.6520
6_p3: SNR=12.9907 dB, PSNR=-29.1550 dB, SSIM=0.6950
6_p4: SNR=11.8597 dB, PSNR=-30.2220 dB, SSIM=0.7039
7_p1: SNR=18.8169 dB, PSNR=-24.5236 dB, SSIM=0.4150
7_p2: SNR=19.6169 dB, PSNR=-23.7508 dB, SSIM=0.4237
7_p3: SNR=17.2328 dB, PSNR=-27.6551 dB, SSIM=0.6442
7_p4: SNR=16.3021 dB, PSNR=-26.6822 dB, SSIM=0.6080
8_p1: SNR=34.2649 dB, PSNR=-11.3784 dB, SSIM=0.3855
8_p2: SNR=29.5346 dB, PSNR=-15.7993 dB, SSIM=0.3652
8_p3: SNR=11.1681 dB, PSNR=-23.7512 dB, SSIM=0.6227
